Instance,BMA Weighted Prediction
Instance 1,0.6891855612998523
Instance 2,0.6616071980569663
Instance 3,0.7000785968861377
Instance 4,0.7410713429256597
Instance 5,0.6651995580110497
Instance 6,0.6608854928017718
Instance 7,0.7061273656320968
Instance 8,0.7317653181461116
Instance 9,0.6609436713055002
Instance 10,0.7330287398673545
Instance 11,0.6741469396939695
Instance 12,0.7411146971201589
Instance 13,0.7234180168502915
Instance 14,0.7742550658032169
Instance 15,0.6941951522684897
Instance 16,0.6239782008830022
Instance 17,0.6395200688073396
Instance 18,0.7509469758064514
Instance 19,0.6752756952841595
Instance 20,0.6344225035161746
Instance 21,0.6425182325182326
Instance 22,0.6937961842717544
Instance 23,0.7430397284385214
Instance 24,0.6481363377067882
Instance 25,0.7971705405405406
Instance 26,0.5572111801242237
Instance 27,0.5652526315789475
Instance 28,0.7370042162698414
Instance 29,0.6941951522684897
Instance 30,0.6239782008830022
Instance 31,0.6395200688073396
Instance 32,0.7509469758064514
Instance 33,0.7330287398673545
Instance 34,0.6752756952841595
Instance 35,0.7028841309823677
Instance 36,0.6606093268807743
Instance 37,0.7160140082776186
Instance 38,0.7665629322268325
Instance 39,0.7204695201037614
Instance 40,0.7336504757135703
Instance 41,0.7203236434108528
Instance 42,0.6340284360189573
Instance 43,0.7076190627988527
Instance 44,0.7996550701186623
Instance 45,0.7067819404418827
Instance 46,0.7011841368584758
Instance 47,0.6951728318308984
Instance 48,0.7067819404418827
Instance 49,0.5635113378684807
Instance 50,0.6697629464285714
All Method BMA Weighted Prediction,0.6891855612998523
